AGURK SLANGEAGURK	0,8	24	104	Grønnsaker
AGURKER SYLTEDE	0,7	21	119	Grønnsaker
ALFALFASPIRER	4,0	160	16	Grønnsaker
ANANAS FRISK OG HERMETISK	0,5	15	167	Frukt
ANANASJUICE	0,4	12	208	Saft og juice
ANSJOS HERMETISK	12,5	625	4	Fiskevarer
APPELSIN	0,9	27	92	Frukt
APPELSINJUICE	0,7	21	119	Saft og juice
APRIKOS	0,9	27	92	Frukt
APRIKOS HERMETISK	0,4	12	208	Frukt
APRIKOS TØRKET	4,8	144	17	Frukt
ARTISKOKK	2,8	84	30	Grønnsaker
ASPARGES HERMETISK/RÅ	2,2	66	38	Grønnsaker
AUBERGIN/EGGPLANTE	1,1	33	75	Grønnsaker
AVOCADO	1,9	57	44	Frukt
BACON MED SVOR RÅ	13,9	695	4	Kjøtt
BACON MED SVOR STEKT	16,0	800	3	Kjøtt
BAGUETTE, FIN, HALVSTEKT	9,9	495	5	Bakevarer
BAKERS GLUTENFRIE JYTTEBRØD*	6,6	330	8	Bakevarer
BAKERS GLUTENFRIE KJERNEBRØD*	9,5	475	5	Bakevarer
BAKERS GLUTENFRIE LOFF*	5,7	285	9	Bakevarer
BALSAMICOEDDIK	0,5	15	167	Diverse
BAMBUSSKUDD HERMETISK	1,5	45	56	Grønnsaker
BANAN	1,1	33	75	Frukt
BANANCHIPS*	3,9	117	21	Frukt
BANKEKJØTT SALT	15,9	795	3	Kjøttpålegg
BASILIKUM	3,1	93	27	Grønnsaker
BERNAISESAUS AV PULVER	2,5	125	20	Supper/sauser
BIOLA NATURELL	3,3	165	15	Melk og yoghurt
BIOLA/CULTURA MED SMAK	3,0	150	17	Melk og yoghurt
BJØRNEBÆR	1,4	42	60	Bær
BLOMKÅL FRISK/FRYST	1,9	57	44	Grønnsaker
BLOMKÅLSUPPE AV PULVER	1,5	75	33	Supper/sauser
BLÅBÆR	1,0	30	83	Bær
BLÅSKJELL HERMETISK	18,5	92	Fiskevarer
BLÅSKJELL, RÅ	10,4	520	5	Fisk og sjømat
BLØTKAKE MED KREM, SYLTETØY 	5,0	250	5	Kaker og kjeks
BOGSKINKE HERMETISK	16,8	840	3	Andre kjøttvarer
BOKHVETE MEL LYST	6,6	330	8	Kornvarer og frø
BRELETT	4,0	200	13	Matfett
BREMYKT	0,5	25	100	Matfett
BREMYKT FLYTENDE	0,3	15	167	Matfett
BRIE	18,0	900	3	Ost
BRINGEBÆR	1,1	33	75	Bær
BROKKOLI FRISK/FRYST	3,2	96	26	Grønnsaker
BRUN SAUS AV BLOKK	1,0	50	50	Supper/sauser
BRUNOST FLØTEMYSOST	11,0	550	5	Ost
BRUNOST FLØTEMYSOST LETTERE	12,0	600	4	Ost
BRUNOST GUDBRANDSDALSOST	11,0	550	5	Ost
BRUNOST GUDBRANDSDALSOST LETT	12,0	600	4	Ost
BRUS KUNSTIG SØTET med aspartam*	0,0	22	100	Drikkevarer
BRUS SUKRET	0,0	0	 uten phe	Drikkevarer
BRØD, 0-25% FINT, TYPE LOFF	9,4	470	5	Bakevarer
BRØD, 25-50% GROVT, TYPE KNEIPP	7,1	355	7	Bakevarer
BRØD, 50-75% GROVT, TYPE LØVEBRØLBRØD	7,5	375	7	Bakevarer
BRØNNKARSE RÅ	3,0	90	28	Grønnsaker
BYGGRYN OG BYGGMEL	8,6	430	6	Kornvarer og frø
BØNNER GRØNNE FRISKE/FRYSTE	1,7	68	36	Grønnsaker
BØNNER RØDE KOKTE*	7,8	390	6	Bønner, linser og erter
BØNNER RØDE TØRRE	22,1	1105	2	Bønner, linser og erter
BØNNER RØDE/KIDNEY HERMETISK	8,8	440	6	Bønner, linser og erter
CAMEMBERT	19,0	950	3	Ost
CASHEWNØTTER SALTET	18,0	900	3	Nøtter
CASHEWNØTTER UTEN SALT	18,2	910	3	Nøtter
CHAPATTI, SAMMALT MEL	9,7	485	5	Bakevarer
CHERIMOYA	1,6	48	52	Frukt
CORN FLAKES, TYPE KELLOGGS	7,1	355	7	Frokostblandinger
COTTAGE CHEESE	12,7	635	4	Ost
CREME CHERIE	14,0	700	4	Ost
CREME FRAICHE , 35 % fett	2,2	110	23	Rømme, fløte, melkedessert 
CROISSANT, UTEN FYLL, KJØPT	8,5	425	6	Bakevarer
CULTURA NATURELL	3,3	165	15	Melk og yoghurt
DADDEL TØRKET	3,3	99	25	Frukt
DELFIAKAKE	4,6	230	11	Kaker og kjeks
DRUE	0,7	21	119	Frukt
DRUEJUICE	0,3	9	278	Saft og juice
EGG HELE 	12,4	620	4	Egg
EGGEHVITE	10,2	510	5	Egg
EGGEPLOMME	15,8	790	3	Egg
EPLE	0,3	9	277	Frukt
EPLE TØRKET	2,0	60	42	Frukt
EPLEMOST/EPLENEKTAR	0,1	3	833	Saft og juice
ERTER FRYSTE	5,2	208	12	Grønnsaker
ERTER HERMETISK AVRENT	4,3	172	15	Grønnsaker
ERTESUPPE AV PULVER	3,5	175	14	Supper/sauser
FALAFEL*	13,0	650	4	Vegetarprodukter
FENNIKEL	1,4	42	60	Grønnsaker
FERSKEN	0,9	27	93	Frukt
FERSKEN HERMETISK	0,6	18	138	Frukt
FIKEN TØRKET	3,3	99	25	Frukt
FIKEN*	0,8	24	104	Frukt
FINBAKSTMEL	10,0	500	5	Kornvarer og frø
FISKEBOLLER HERMETISK	7,1	355	7	Fiskevarer
FISKEGRATENG, TYPE COOP X-TRA	7,3	365	7	Fisk og sjømat
FISKEKAKER, TYPE FISKEMANNEN	11,1	555	5	Fisk og sjømat
FISKEPINNER, TYPE FINDUS	11,1	555	5	Fisk og sjømat
FISKEPUDDING	8,0	400	6	Fisk og sjømat
FLATBRØD	10,4	520	5	Bakevarer
FLESKEPØLSE	13,2	660	4	Kjøttpålegg
FLØTE HAVREFLØTE *	1,0	50	50	Rømme, fløte, melkedessert 
FLØTE KAFFEFLØTE 10% FETT	3,0	150	17	Rømme, fløte, melkedessert 
FLØTE KREMFLØTE 38% FETT	2,1	105	24	Rømme, fløte, melkedessert 
